@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.619333,21.217667,2.994615
27.128065,16.799355,2.309395
27.147333,16513,2.052209
28.797667,19.767333,2.983217
27.988065,17.477097,2.5545
27.321667,17.098667,2.081706
30024,20156,3.173147
30.995484,19.910323,2.780988
32.307333,19.016667,2.338214
30.753333,20.621667,3.363308
29.471613,17.540323,2.751442
28.967667,16.692333,2.239989
30.14,20.411667,3.324147
30.660645,18.983226,3.040612
29967,16.865333,2.379631
29.373667,19152,3.252123
27.86129,17.335161,2.8725
28.378667,16.587333,2.361774
30026,20.291667,3.424776
29.187742,18.982258,2.95402
27797,15.326667,2.409904
29.049333,20.015333,3.315474
27.939677,17.934516,2.915455
26339,16.632333,2.299865
30.825667,21.687333,3.534295
28.189677,16.94129,3.028621
29.588333,17.036333,2.705933
29.582667,19.238667,3.504153
28.095161,16.08871,3.135405
29542,17.029667,2.812034
29.77,19.64,3.533674
28.925484,17.726452,3.266555
30.436333,17689,2.92906
31.443333,20.698667,3.841709
29.455484,18.590968,3.255437
27942,15168,2.775356
30937,20.464333,3.92575
29.216774,18.926129,3.410674
29.862333,16822,3.206733
29.073333,19.636667,3.528571
27.587742,16.614839,3.161296
29.498333,17.044667,3.152824
31.33,21.694667,3.711138
27.825484,17.674839,3.338113
29.634333,16.752667,3.157271
33.830667,21547,4.167577
33.228065,19.557742,3.806288
32.870333,19.020667,3.454385
30452,21134,3.586535
29.705484,15.74129,3.713733
32.521667,18281,3.507099
34798,22208,4.281479
31.474194,18.204516,3.775805
32.806333,17759,3.622473
29.329333,20.419333,3.525172
27.650323,17.097097,3.349846
29.720333,17101,3.494964
30486,20.490333,3.689301
30.559355,19.412258,3.650498
29.428333,16.495667,3.51096
30592,20.144333,3.644496
28.885161,16.963548,3.518837
31.798667,17.422667,3.669471
29.745333,20.182333,3.569762
28.325806,17.004516,3.517408
28.699333,16.241667,3.396231
31.012667,22.008667,3.62772
30.08,18.510323,3.603611
30116,17.965333,3.507568
29182,20004,3.471426
30.759355,19.195161,3.79091
30298,19.81,3.581867
29.406333,21.122333,3.455121
27.9,18.068387,3.377254
28.694333,17.834333,3.419742
30.48,21834,3.594593
29.283548,19.294194,3.551544
31.232333,18.555333,3.709504
33.840667,21.774333,4.052758
32.419677,19.209677,3.89556
30606,16738,3.72051
33.464667,22.13,3.915415
33.527097,21.908065,3.973325
32.58,18.268333,3.813828
